Feature,RF_Importance,Lasso_Coefficient
TotalWorkingYears,0.6187090046188097,269.9297029049483
JobLevel_3,0.21029050458976511,4899.248415579553
JobLevel_2,0.05519853007820457,1493.354140068334
JobLevel_4,0.037829085759344544,8356.932028495687
JobRole_Research Director,0.016005193040703698,3328.408244973397
JobLevel_5,0.00992801748990164,11017.958390729475
JobRole_Manager,0.0059548014737341734,3627.3839306632294
MonthlyRate,0.004771863126106914,6.357538953839238
DailyRate,0.004040399859275476,30.660206690237953
HourlyRate,0.003470570925848647,17.981094163353607
EmployeeNumber,0.0034352450399329363,27.540530947186173
JobRole_Laboratory Technician,0.0029239637760051637,-1218.5454193714197
DistanceFromHome,0.002141859732984033,-9.043078432516388
YearsAtCompany,0.0020765352116115746,-31.221080372132857
PercentSalaryHike,0.001988375806678944,33.75956650498326
NumCompaniesWorked,0.0015730669559538052,64.35966343200103
YearsSinceLastPromotion,0.0013230092098552397,53.827677296021534
JobRole_Sales Executive,0.001295865475302211,490.57526878742965
JobRole_Research Scientist,0.0012794767662324626,-1135.6118520156485
YearsInCurrentRole,0.0012439285393546816,51.933487707889185
TrainingTimesLastYear,0.0012433005449909319,7.557957313626549
YearsWithCurrManager,0.0012007877449841861,-2.8582163171978405
JobRole_Sales Representative,0.0005512272526803812,-1024.7248855904054
JobSatisfaction_2,0.0004952747479598651,-43.37756281476973
JobInvolvement_3,0.00047287730216180227,-219.9928083067138
MaritalStatus_Married,0.0004662556390270225,0.0
StockOptionLevel_1,0.00044268115941497666,151.11205620312012
JobInvolvement_2,0.00043826022664455414,-93.23695556004814
JobRole_Manufacturing Director,0.0004099392734204324,75.55318378372938
RelationshipSatisfaction_4,0.0004091003238701274,0.0
Gender_Male,0.00038893709672516635,42.63734922172857
EducationField_Life Sciences,0.0003655205229098738,-22.83742141877335
RelationshipSatisfaction_3,0.0003607134484737057,5.0793346289378025
BusinessTravel_Travel_Rarely,0.00036059948218059354,97.98736579661929
MaritalStatus_Single,0.0003565478253189057,77.24494772851637
Attrition_Yes,0.0003456796925233041,-71.64975589148492
Education_4,0.0003438644214265191,46.68197754492843
EducationField_Marketing,0.00034369789977312185,40.49001800266578
Education_3,0.00033242420502851435,-120.43473944940754
JobSatisfaction_4,0.0003264179717151725,-40.99349380404895
WorkLifeBalance_3,0.00032116885825872314,-17.85619566167426
OverTime_Yes,0.0003161604777083155,82.18385800816783
JobSatisfaction_3,0.0003080751003180165,-93.41975104563046
WorkLifeBalance_2,0.0002895070702503578,11.26378216210229
BusinessTravel_Travel_Frequently,0.00025858895345512445,106.5906577714328
EnvironmentSatisfaction_3,0.0002566699020265345,16.180918901659897
EducationField_Medical,0.0002558290455397776,-4.5520710703524285
EnvironmentSatisfaction_4,0.00024199369651613201,-47.36733178638254
StockOptionLevel_2,0.00023183494262249174,-7.91765701965634
Education_2,0.00022915560382777178,-107.06319655385921
RelationshipSatisfaction_2,0.00022740920571001454,48.906315136551946
Education_5,0.00019580803089910132,-248.78557964447484
JobInvolvement_4,0.0001875987805164569,-146.3985080548245
EducationField_Other,0.00017002209812348826,-61.10460121449527
WorkLifeBalance_4,0.00013964889736068188,-46.354282472223915
PerformanceRating_4,0.0001337729154946236,-144.61181164113037
Department_Research & Development,0.00012504178519864175,377.0785529039869
JobRole_Human Resources,4.477180988583521e-05,-395.9561625400465
